target_column,model_name,function_name,training_score,testing_score,accuracy_score
partyWinning,KNN,knn,0.9619826756496631,0.9491916859122402,0.9491916859122402
partyWinning,Logistic Regression,lr,0.7784408084696823,0.7719399538106235,0.7719399538106235
partyWinning,Random Forest,rf,0.985274302213667,0.9670900692840647,0.9670900692840647
partyWinning,Decision Tree,dt,0.985274302213667,0.9691108545034642,0.9691108545034642
decisionDirection,KNN,knn,0.9040423484119345,0.8905889145496536,0.8905889145496536
decisionDirection,Logistic Regression,lr,0.6345524542829644,0.6293302540415704,0.6293302540415704
decisionDirection,Random Forest,rf,0.9411934552454283,0.924364896073903,0.924364896073903
decisionDirection,Decision Tree,dt,0.9411934552454283,0.9142609699769053,0.9142609699769053
decisionType,KNN,knn,0.8434071222329163,0.8348729792147807,0.8348729792147807
decisionType,Logistic Regression,lr,0.8306063522617901,0.8340069284064665,0.8340069284064665
decisionType,Random Forest,rf,0.8782483156881616,0.8545034642032333,0.8545034642032333
decisionType,Decision Tree,dt,0.8782483156881616,0.8530600461893765,0.8530600461893765
caseDisposition,KNN,knn,0.6357074109720885,0.6079676674364896,0.6079676674364896
caseDisposition,Logistic Regression,lr,0.5699711260827719,0.5912240184757506,0.5912240184757506
caseDisposition,Random Forest,rf,0.6802694898941289,0.6374133949191686,0.6374133949191686
caseDisposition,Decision Tree,dt,0.6802694898941289,0.6348152424942263,0.6348152424942263
